threshold,accuracy,precision,recall,f1_score,far,frr,true_positives,true_negatives,false_positives,false_negatives
0.4,0.6968297053508646,0.6959722790895168,1.0,0.8207354420476138,0.9907832962688411,0.0,91789,373,40097,0
0.41000000000000003,0.6975253101868304,0.696458108866868,1.0,0.8210731585138404,0.9885100074128984,0.0,91789,465,40005,0
0.42,0.6984704254530882,0.6971192915568585,1.0,0.8215324580010561,0.9854212997281937,0.0,91789,590,39880,0
0.43,0.6997179776045487,0.6979939773695096,1.0,0.8221395207194134,0.9813442055843835,0.0,91789,755,39715,0
0.44,0.70108650451009,0.6989560092291526,1.0,0.8228064828426979,0.9768717568569311,0.0,91789,936,39534,0
0.45,0.7027423464565739,0.7001235660239199,1.0,0.8236149183689034,0.9714603409933283,0.0,91789,1155,39315,0
0.46,0.7046401379112196,0.7014665311456367,1.0,0.8245434374466633,0.9652582159624413,0.0,91789,1406,39064,0
0.47000000000000003,0.7065152465994753,0.702798514605107,1.0,0.8254629171650314,0.9591302199159871,0.0,91789,1654,38816,0
0.48,0.708889376148315,0.7044922519590763,1.0,0.8266300432276656,0.9513713862120089,0.0,91789,1968,38502,0
0.49,0.7115508207380972,0.7064006957110645,1.0,0.8279423437725502,0.9426735853718804,0.0,91789,2320,38150,0
0.5,0.7145903114343826,0.7085929116777446,1.0,0.8294461563485537,0.93274030145787,0.0,91789,2722,37748,0
0.51,0.7175995584421476,0.7107800243152621,0.9999891054483653,0.8309388664077565,0.9228811465282926,1.0894551634727473e-05,91788,3121,37349,1
0.52,0.7210700216998465,0.7133154074511572,0.9999891054483653,0.8326688347916016,0.9115394119100568,1.0894551634727473e-05,91788,3580,36890,1
0.53,0.7246841424780166,0.715978408399507,0.9999782108967306,0.83447658270716,0.8997034840622683,2.1789103269454946e-05,91787,4059,36411,2
0.54,0.7286007001413892,0.7188865740378139,0.9999673163450958,0.8364446591059248,0.8868791697553744,3.268365490418242e-05,91786,4578,35892,3
0.55,0.7323282347515103,0.7216766391734745,0.9999564217934611,0.8383263613612699,0.8746725969854213,4.357820653890989e-05,91785,5072,35398,4
0.56,0.7362296705706228,0.7246271543726956,0.999923738138557,0.8403021286335546,0.8618482826785273,7.626186144309231e-05,91782,5591,34879,7
0.5700000000000001,0.7406150054060593,0.7279822954096566,0.9998583708287485,0.8425304556178795,0.8473684210526315,0.00014162917125145716,91776,6177,34293,13
0.58,0.7451061931513168,0.7314617757478658,0.999760319864036,0.8448210784088085,0.832468495181616,0.00023968013596400441,91767,6780,33690,22
0.59,0.7500359143801179,0.7353132086962794,0.9996731634509581,0.847352916732078,0.816160118606375,0.00032683654904182416,91759,7440,33030,30
0.6,0.7549731965310489,0.7392081983854595,0.9995969015895151,0.8499057482018053,0.7998517420311342,0.0004030984104849165,91752,8100,32370,37
0.61,0.7603716949319139,0.7435047569652669,0.9995424288313415,0.8527187980686566,0.7820854954287126,0.00045757116865855385,91747,8819,31651,42
0.62,0.7653921472262757,0.7475675147089982,0.9994334833149942,0.8553446804939792,0.7654311835927847,0.0005665166850058286,91737,9493,30977,52
0.63,0.7706847927173198,0.7518769876397495,0.9993790105568205,0.8581384797444257,0.7480108722510501,0.000620989443179466,91732,10198,30272,57
0.64,0.776355484314867,0.7565530096831131,0.9993136432470122,0.8611516633729364,0.729330368173956,0.0006863567529878308,91726,10954,29516,63
0.65,0.7821925161992757,0.7614141984327268,0.9992809595921079,0.8642798923925693,0.7101803805287867,0.0007190404078920132,91723,11729,28741,66
0.66,0.7880295480836843,0.7663563896455489,0.9992046977306649,0.8674261232249003,0.6909315542377069,0.0007953022693351056,91716,12508,27962,73
0.67,0.794358039906547,0.7717584294718064,0.9991938031790302,0.8708718688873274,0.6702248579194465,0.000806196820969833,91715,13346,27124,74
0.68,0.8011326261350834,0.7776213933849402,0.9991938031790302,0.8745923368870748,0.6480850012354831,0.000806196820969833,91715,14242,26228,74
0.6900000000000001,0.8074006305809056,0.7831258431955189,0.9991938031790302,0.8780630244659005,0.6276006918705214,0.000806196820969833,91715,15071,25399,74
