accent,gender,speaker,num_comparisons,mean_similarity,median_similarity,min_similarity,max_similarity,std_similarity
crn_001,male,bxp001,253,0.9717349285193583,0.9732133150100708,0.9239988923072815,0.9974181056022644,0.012324528859158012
crn_001,male,cgm001,276,0.9768476000298625,0.9787375926971436,0.9340723752975464,0.9945312738418579,0.011308883867797324
crn_001,male,cxg001,190,0.9745806715990367,0.9747406840324402,0.945786714553833,0.9962131381034851,0.01079579786551142
crn_001,male,ejd001,253,0.9808374176854673,0.9819468259811401,0.9592188000679016,0.9954944849014282,0.0069689473120101274
crn_001,male,gmc001,153,0.9760505693410736,0.9798584580421448,0.912480354309082,0.9953821301460266,0.013719946649973416
crn_001,male,kjr001,253,0.9697806792768094,0.9721161127090454,0.924326479434967,0.9930843114852905,0.014360175263662824
crn_001,male,mjm001,465,0.9743094240465472,0.9772584438323975,0.8749099373817444,0.995316743850708,0.014464904233169358
crn_001,male,par001,136,0.9821762705550474,0.983067125082016,0.9601781964302063,0.9962948560714722,0.006413228821485976
crn_001,male,rpg001,231,0.9681443711379906,0.972419261932373,0.8684688806533813,0.9953294396400452,0.018223092667718422
crn_001,male,sxc001,406,0.9744177795396063,0.9778307676315308,0.9237444400787354,0.9950705766677856,0.012896771020011695
ean_001,female,ald001,1596,0.9810277611988231,0.984000951051712,0.9251030087471008,0.9968701601028442,0.011048831416567099
ean_001,female,cxb002,276,0.9879811943873115,0.9892052114009857,0.9664930701255798,0.9970898628234863,0.005379920919549135
ean_001,female,dab001,276,0.9862473516360574,0.9866128861904144,0.967041015625,0.9970270395278931,0.005560906350961441
ean_001,female,hjl001,703,0.9727831007237115,0.9749260544776917,0.9106781482696533,0.9963015913963318,0.0131918377264279
ean_001,female,jkb001,1176,0.9842206778473594,0.9869644045829773,0.9218234419822693,0.9979569315910339,0.010086259080457047
ean_001,female,ljb001,276,0.9872897345086803,0.988196074962616,0.9698154330253601,0.997228741645813,0.005724871968659167
ean_001,female,ljl001,780,0.9824501511378166,0.9838772714138031,0.9435460567474365,0.9963681101799011,0.007411508078709327
ean_001,female,mja001,253,0.9791200380080303,0.9814238548278809,0.9449641704559326,0.9965892434120178,0.010299140887085022
ean_001,female,nxp001,210,0.9929461811270033,0.9934463500976562,0.9825354814529419,0.9985055327415466,0.0032037892079626565
ean_001,female,rxt001,325,0.9874175335810734,0.987583577632904,0.970027506351471,0.9974434971809387,0.00423383123150908
ean_001,male,asp001,1035,0.9576584060410946,0.9649820327758789,0.7801106572151184,0.9962842464447021,0.029405539017715816
ean_001,male,baj001,406,0.9769210066701391,0.9797335267066956,0.8975968360900879,0.9971917271614075,0.014758185671411456
ean_001,male,htl001,171,0.98548724497968,0.9865683317184448,0.967953085899353,0.997267484664917,0.005669870306197341
ean_001,male,ifp001,231,0.9845401007375676,0.9867200255393982,0.9602175951004028,0.9957433342933655,0.0073516042969651385
ean_001,male,kxk001,120,0.9847803816199303,0.9862349927425385,0.9533774852752686,0.996470034122467,0.007857396529526443
ean_001,male,mjc002,231,0.9823693651141543,0.9837348461151123,0.9530811905860901,0.9962754845619202,0.008242366712254106
ean_001,male,pem001,300,0.9812768437465031,0.9831885993480682,0.9483358860015869,0.9964116811752319,0.009034519827716312
ean_001,male,rwj001,630,0.9706553304952289,0.9749091267585754,0.8863459229469299,0.996495246887207,0.016827793131166863
ean_001,male,spd001,820,0.9778676058461027,0.9822238385677338,0.8694450259208679,0.996472179889679,0.019436754681098997
eyk_001,female,cet001,1378,0.9755453183619828,0.9782016575336456,0.8912737965583801,0.9963908195495605,0.01273324736730535
